event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MLI8289,"25 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Dozo Communal Militia (Mali)",,4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Pastoralists (Mali)",7,47,"Civilian targeting",466,"Western Africa",Mali,Mopti,Djenne,Madiama,Tombonka,13.8356,-4.3995,1,"Undisclosed Source","Local partner-Other","On 25 February 2023, Donso militiamen killed a Fulani pastoralist man in the village of Tombonka (Djenne, Mopti).",1,,1678117764
MLI8306,"25 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Muslim Group (Mali)",7,27,"Civilian targeting",466,"Western Africa",Mali,Mopti,Bandiagara,Doucoumbo,Tabagolo,14.3768,-3.6599,1,"Facebook; Le Pays Dogon; Twitter","New media-Subnational","On 25 February 2023, presumed JNIM militants attacked the village of Tabagolo (Bandiagara, Mopti). The militants killed two people including the imam, destroyed property, and seized livestock.",2,,1678117764
MLI8311,"25 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mali)",,6,,,0,60,,466,"Western Africa",Mali,Mopti,Bankass,Bankass,Bankass,14.0775,-3.5159,1,Facebook,"New media","On 25 February 2023, a large number of people demonstrated in the town of Bankass (Bankass, Mopti). The demonstrators denounced insecurity and inaction by FAMa in the wake of a deadly attack on 23 February in the village of Kani Bonzon.",0,"crowd size=a large number",1678117764
MLI8312,"25 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mali)",,6,,,0,60,,466,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Rharous,Gourma-Rharous,16.8778,-1.9231,1,"Maliweb; Twitter","New media-National","On 25 February 2023, a large number of residents demonstrated in the town of Gourma-Rharous (Gourma-Rharous, Tombouctou). The demonstrators demanded the cercle of Gourma-Rharous is transformed into a region as part of the new territorial administrative division and simultaneously expressed their support for the transition government.",0,"crowd size=a large number",1678117764
MLI8319,"25 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Labor Group (Mali)",7,37,"Civilian targeting",466,"Western Africa",Mali,Segou,Tominian,Fangasso,Sokoura,13.5402,-4.4882,2,Whatsapp,"New media","On 25 February 2023, an unidentified armed group of about ten intercepted three buses including two from Diarra Transport and one from Bani Transport and stripped the drivers and the passengers of their belongings near Sokoura (Tominian, Segou). One of the buses was hit by a bullet near the fuel tank and several people were lightly wounded.",0,,1678117764
MLI8320,"25 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Civilian targeting",466,"Western Africa",Mali,Menaka,Menaka,Menaka,I-n-Telli,16.2968,2.7629,1,"UN MINUSMA",Other,"On 25 February 2023, an unidentified armed group (militants of unknown affiliation) killed two people in the village of I-n-Telli (Menaka, Menaka).",2,,1678117764
MLI8249,"24 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)","Bozo Ethnic Group (Mali); Fishers (Mali)",7,17,"Civilian targeting",466,"Western Africa",Mali,Mopti,Tenenkou,"Ouro Ardo",Sinde-Gorbo,14.4976,-4.8223,2,"Undisclosed Source","Local partner-Other","On 24 February 2023, a FAMa and Wagner patrol killed two Bozo fishers between Sinde [Sinde-Gorbo] and Penga (Tenenkou, Mopti).",2,,1677520657
MLI8263,"24 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mali)",,6,,,0,60,,466,"Western Africa",Mali,Gao,Gao,Anchawadi,Djebok,16.3464,0.3067,1,Facebook,"New media","On 24 February 2023, a number of people demonstrated in the village of Djebok (Gao, Gao). The demonstrators demanded an increase of arrondissements in the cercle including the localities of Samit and Imenas as part of what they deemed a more equitable administrative division.",0,"crowd size=no report",1677520657
MLI8264,"24 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)",,7,17,"Civilian targeting",466,"Western Africa",Mali,Segou,Segou,Bellen,Sagala,14.1137,-6.7275,1,"Undisclosed Source","Local partner-Other","On 24 February 2023, a FAMa and Wagner patrol killed three people and seized cash from marketgoers in the village of Sagala (Segou, Segou).",3,,1677520657
MLI8270,"24 February 2023",2023,1,"Political violence",Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Police Forces of Mali (2021-) Gendarmerie",,1,12,,466,"Western Africa",Mali,Segou,San,Kava,Kimparana,12.837,-4.9258,1,"Al Zallaqa; Facebook; Twitter; Undisclosed Source","Local partner-Other","On 24 February 2023, JNIM militants attacked the gendarmerie in the town of Kimparana (San, Segou). One GARSI gendarme was wounded, two vehicles equipped with a 12.7mm heavy machine gun and a PKM, and various equipment were captured by the militants, and one armored vehicle burned. One captured vehicle subsequently broke down and was set ablaze by the militants. JNIM claimed responsibility and displayed a vehicle, weapons, and ammunition captured.",0,,1677520657
MLI8294,"24 February 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,"Civilian targeting",466,"Western Africa",Mali,Segou,Tominian,Lanfiala,Tiouga,13.5547,-4.1183,1,"Undisclosed Source","Local partner-Other","On 24 February 2023, one person was killed and two severely wounded by the explosion of an IED likely planted by JNIM militants in the village of Tiouga (Tominian, Segou).",1,,1678117764
MLI8308,"24 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mali)","Students (Mali)",6,,,0,60,,466,"Western Africa",Mali,Mopti,Bandiagara,Bandiagara,Bandiagara,14.3493,-3.6102,1,Facebook,"New media","On 24 February 2023, a large number of people including students demonstrated in the town of Bandiagara (Bandiagara, Mopti). The demonstrators denounced the deadly attack on 23 February in the village of Kani Bonzon.",0,"crowd size=a large number",1678117764
MLI8229,"23 February 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Military Forces of Mali (2021-)",7,27,"Civilian targeting",466,"Western Africa",Mali,Tombouctou,Tombouctou,Ber,Didi,16.7751,-2.4866,2,Twitter,"New media","On 23 February 2023, suspected JNIM militants abducted a soldier who was the passenger of a vehicle accompanying a team of the state television covering a meeting in support of the transition in the area of Didi (Tombouctou, Tombouctou).",0,,1677520657
MLI8237,"23 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Dan Na Ambassagou",,4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Malinke Ethnic Group (Mali); Pastoralists (Mali)",7,47,"Civilian targeting",466,"Western Africa",Mali,Mopti,Mopti,Socoura,Barbe,14.4951,-4.0918,2,"Undisclosed Source","Local partner-Other","On 23 February 2023, suspected Dan Na Ambassagou militiamen killed two men from the Fulani and Malinke communities between Barbe (Socoura, Mopti) and Perimpe (Mopti, Mopti).",2,,1677520657
MLI8268,"23 February 2023",2023,1,"Political violence",Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Dan Na Ambassagou",,4,24,,466,"Western Africa",Mali,Mopti,Bankass,"Kani Bozon","Kani Bonzon",14.1427,-3.619,1,"AFP; Essor; Facebook; Koro Kibaru; Le Pays Dogon; Maliweb; Reuters; Twitter; Undisclosed Source; Whatsapp","Local partner-Other","On 23 February 2023, JNIM militants and Dan Na Ambassagou militiamen clashed in the village of Kani Bonzon (Bankass, Mopti). At least twelve people including militiamen and civilians were killed and five others wounded, three people abducted, property burned, and livestock seized.",12,,1678117764
MLI8292,"23 February 2023",2023,1,"Strategic developments","Strategic developments",Other,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Farmers (Mali)",7,27,,466,"Western Africa",Mali,Sikasso,Yorosso,Boura,Ouafrouma,12.2379,-4.5655,2,"Undisclosed Source","Local partner-Other","Non-violent activity: On 23 February 2023, JNIM militants fired warning shots after discovering farmers in the bush near the village of Ouafrouma (Yorosso, Sikasso). The militants ordered the farmers to return to the village and that they did not want to see them in the bush.",0,,1678117764
MLI8293,"23 February 2023",2023,1,"Strategic developments","Strategic developments",Other,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,,466,"Western Africa",Mali,Sikasso,Yorosso,Boura,Banga,12.4825,-4.4819,2,"Undisclosed Source","Local partner-Other","Non-violent activity: On 23 February 2023, presumed JNIM militants intercepted and searched marketgoers for alcoholic beverages on a rural track between Banga (Yorosso, Sikasso) in Mali, and Tansila (Tansila, Banwa) in Burkina Faso.",0,,1678117764
MLI8222,"22 February 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2021-)",,8,"Unidentified Armed Group (Mali)",,3,38,,466,"Western Africa",Mali,Kidal,Tessalit,Tessalit,Amachach,20.2581,0.9904,1,Whatsapp,"New media","Defusal: On 22 February 2023, MINUSMA peacekeepers discovered and defused an unexploded mortar shell at the camp in Amachach (Tessalit, Kidal).",0,,1677520657
MLI8223,"22 February 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","JNIM: Group for Support of Islam and Muslims",,2,,,0,20,,466,"Western Africa",Mali,Mopti,Koro,Diougani,Dioungani,14.3156,-2.7403,2,"Studio Tamani; Undisclosed Source","Local partner-Other","Detonation: On 22 February 2023, two JNIM militants were killed while planting an IED between Dioungani and Yorou-Na (Koro, Mopti).",2,,1677520657
MLI8265,"22 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (China)","Miners (China)",7,37,"Civilian targeting",466,"Western Africa",Mali,Kayes,Kenieba,Faraba,Menankote,12.7093,-11.3583,1,Whatsapp,"New media","On 22 February 2023, an unidentified armed group attacked two Chinese nationals (probably miners) aboard a truck in the village of Menankote (Kenieba, Kayes). One was killed and the other wounded.",1,,1677520657
MLI8266,"22 February 2023",2023,1,"Political violence",Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Dan Na Ambassagou",,4,24,,466,"Western Africa",Mali,Mopti,Mopti,Socoura,Doundou,14.5405,-4.0459,1,"Undisclosed Source","Local partner-Other","On 22 February 2023, JNIM militants attacked a Dan Na Ambassagou position in the village of Doundou (Mopti, Mopti). Four militiamen were killed, five others wounded, and equipment seized by the militants.",4,,1677520657
MLI8257,"22 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)",,7,17,"Civilian targeting",466,"Western Africa",Mali,Segou,Segou,Farako,Denebougou,13.694,-6.5784,1,"Undisclosed Source","Local partner-Other","On 22 February 2023, FAMa and Wagner forces killed two people and arrested several others in the village of Denebougou (Segou, Segou).",2,,1678117764
MLI8304,"22 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Burkina Faso)","Labor Group (Burkina Faso)",7,27,"Civilian targeting",466,"Western Africa",Mali,Sikasso,Yorosso,Boura,Tasso,12.5831,-4.4573,2,"Undisclosed Source","Local partner-Other","On 22 February 2023, presumed JNIM militants intercepted three Burkinabe traders on a rural track between Tasso and Tabaco (Yorosso, Sikasso). The militants assaulted the traders after finding alcohol sachets when searching them.",0,,1678117764
MLI8228,"21 February 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","JNIM: Group for Support of Islam and Muslims",,2,"MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2021-)",,8,28,,466,"Western Africa",Mali,Mopti,Bandiagara,"Bara Sara",Songobia,14.1473,-3.7773,2,"aBamako; Al Zallaqa; AMAP; AP; Reuters; Seneweb; Twitter; UN MINUSMA","Other-New media","On 21 February 2023, a MINUSMA vehicle hit an IED between Songobia and Parou (Bandiagara, Mopti). Three Senegalese peacekeepers were killed and five wounded. JNIM claimed responsibility.",3,,1677520657
MLI8236,"21 February 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Farmers (Mali)",7,27,"Civilian targeting",466,"Western Africa",Mali,Mopti,Koro,Koro,Bargou,13.9322,-2.9586,2,"Undisclosed Source","Local partner-Other","On 21 February 2023, JNIM militants abducted two farmers between Bargou and Pepa (Koro, Mopti).",0,,1677520657
MLI8244,"21 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Government of Mali (2021-)",7,27,"Civilian targeting",466,"Western Africa",Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,1,"Twitter; Undisclosed Source; Whatsapp","Local partner-Other","On 21 February 2023, suspected JNIM militants attacked the domicile of the 1st deputy mayor of Haire commune in the town of Boni. The 1st deputy mayor was severely wounded in the attack.",0,,1677520657
MLI8277,"21 February 2023",2023,2,"Political violence",Battles,"Armed clash","Military Forces of Mali (2021-)",,1,"JNIM: Group for Support of Islam and Muslims",,2,12,,466,"Western Africa",Mali,Segou,Segou,Souba,Kamiti,13.6588,-6.7643,2,FAMAMali,National,"Around 21 February 2023 (between 21 - 22 February), FAMa conducted an air and ground operation and 'neutralized' (presumably killed) four militants (suspected to be JNIM) and seized three AK rifles in the area of Kamiti (Segou, Segou).",4,,1677520657
MLI8242,"21 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","CMA: Coordination of Movements of the Azawad",7,27,"Civilian targeting",466,"Western Africa",Mali,Tombouctou,Tombouctou,Ber,Didi,16.7751,-2.4866,2,"Twitter; Undisclosed Source","Local partner-Other","On 21 February 2023, JNIM militants killed by execution a CMA informal customs post chief in Didi who also is described as leader of a bandit gang in Beragoungou, location coded as Didi (Tombouctou, Tombouctou). The victim was abducted around 23 November 2022 (coded separately).",1,,1678117764
MLI8279,"21 February 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,"Civilian targeting",466,"Western Africa",Mali,Tombouctou,Goundam,Gargando,Gargando,16.4625,-4.1727,1,"Undisclosed Source","Local partner-Other","On 21 February 2023, presumed JNIM militants abducted a man accused of a robbery in Gargando (Goundam, Tombouctou).",0,,1678117764
MLI8283,"21 February 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,"Civilian targeting",466,"Western Africa",Mali,Tombouctou,Dire,Arham,Arham,16.3798,-3.3744,1,"Undisclosed Source","Local partner-Other","On 21 February 2023, presumed JNIM militants abducted a man involved in a land dispute in the village of Arham (Dire, Tombouctou).",0,,1678117764
MLI8318,"21 February 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)",,7,17,"Civilian targeting",466,"Western Africa",Mali,Segou,Macina,Souleye,Fia,14.0333,-5.15,2,"Undisclosed Source","Local partner-Other","On 21 February 2023, A FAMa and Wagner patrol killed two people aboard a motorcycle in the area of Fia (Macina, Segou).",2,,1678117764
