event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CYP1455,"01 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Philenews,National,"On 1 February 2023, employees of J&P, a Cypriot company based in Saudi Arabia, rallied outside national broadcaster RIK in Nicosia before the televised debate of the presidential candidates ahead of elections on 5 February, to protest over unpaid wages and social insurance.",0,"crowd size=no report",1675798462
CYP1454,"31 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,2,"Cyprus Mail; SigmaLive",National,"On 31 January 2023, Pafos concrete manufacturers and quarrying companies protested that quarries are being phased out. The demonstrators, who were holding placards, blocked off with heavy vehicles a section of the Limassol to Pafos highway for 2 hours. The regional spokesman for concrete manufacturers and the president of the concrete manufacturers' association and the European quarries association held speeches. Police forces were redirecting traffic.",0,"crowd size=no report",1675798462
CYP1456,"31 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Women (Cyprus); Students (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Famagusta,,,Famagusta,35.1205,33.9389,1,"Cyprus Mail; Detay; SigmaLive",National,"On 31 January 2023, students and parents marched in Famagusta with the slogan 'Do not let other Helins die', following the murder of a teenage girl in Trikomo. The protesters, including the girl's family who made statements against the mishandling of the reporting of the murder, her classmates, members of NGOs and other demonstrators, were carrying placards and banners demanding equality and an end to femicides.",0,"crowd size=no report",1675798462
CYP1444,"27 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","CTP: Republican Turkish Party; Independence Road; Women (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Famagusta,,,Trikomo,35.2863,33.8919,1,"Cyprus Mail; Detay; Philenews",National,"On 27 January 2023, following the fatal beating of a teenage girl, members of CTP and Independence Road rallied carrying banners outside Iskele (Trikomo) District Court, protesting against patriarchy, as the murder suspect was brought to court. The protesters made a statement to the media demanding justice, saying femicides are political and accusing the government of failing at making institutional arrangements to prevent violence against women. Strong police forces were observing the demonstration.",0,"crowd size=no report",1675191965
CYP1445,"26 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","CTP: Republican Turkish Party; Women (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Detay; SigmaLive",National,"On 26 January 2023, Turkish Cypriots from 40 organizations rallied carrying banners in Northern Nicosia, demanding religious classes be optional and the dismissal of the Head of Religious Affairs, Ahmet Unsal, appointed by Turkey, for his anti-feminist stance. The demonstrators also marched to the offices of Kibris newspaper shouting 'We don't want sexist media' after the newspaper described the latest femicide of a teenage girl as a crime of passion. The CTP Women's organization chair made a statement to the media on behalf of the demonstrators.",0,"crowd size=no report",1675191965
CYP1447,"26 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Government of Cyprus (2013-2023); Health Workers (Cyprus); Journalists (Cyprus); Judges (Cyprus); Labor Group (Cyprus); PEO: Pancyprian Federation of Labour; SEK: Cyprus Workers Confederation; Teachers (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Larnaca,,,Larnaca,34.9229,33.6233,1,"AFP; Cyprus Mail; Ekathimerini; Haravgi",National-International,"On 26 January 2023, thousands of workers across all sectors participated in a 3-hour general strike and demonstration in all major cities affecting public transportation and flights, public services, ports, schools and universities, hospitals, media, construction, following failed talks between unions and the labor ministry over the restoration of ATA, the Cost of Living Allowance (CoLA) and the re-introduction of collective labor agreements. The deal granting workers raises to offset inflation was suspended since the financial crisis of 2013. The demonstrators were organized by 14 unions representing 70,000 workers in the public sector and 40,000 workers in the private sector, including SEK and PEO and the unions of teachers, journalists, judges. In Larnaca, demonstrators rallied at the district office, where the district secretary of PEO held a speech.",0,"crowd size=thousands",1677016121
CYP1448,"26 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Government of Cyprus (2013-2023); Health Workers (Cyprus); Journalists (Cyprus); Judges (Cyprus); Labor Group (Cyprus); PEO: Pancyprian Federation of Labour; SEK: Cyprus Workers Confederation; Teachers (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,"AFP; Cyprus Mail; Ekathimerini; Haravgi",National-International,"On 26 January 2023, thousands of workers across all sectors participated in a 3-hour general strike and demonstration in all major cities affecting public transportation and flights, public services, ports, schools and universities, hospitals, media, construction, following failed talks between unions and the labor ministry over the restoration of ATA, the Cost of Living Allowance (CoLA) and the re-introduction of collective labor agreements. The deal granting workers raises to offset inflation was suspended since the financial crisis of 2013. The demonstrators were organized by 14 unions representing 70,000 workers in the public sector and 40,000 workers in the private sector, including SEK and PEO and the unions of teachers, journalists, judges. In central Limassol, demonstrators rallied at the district office, where union officials held speeches.",0,"crowd size=thousands",1677016121
CYP1449,"26 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Government of Cyprus (2013-2023); Health Workers (Cyprus); Journalists (Cyprus); Judges (Cyprus); Labor Group (Cyprus); PEO: Pancyprian Federation of Labour; SEK: Cyprus Workers Confederation; Teachers (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"AFP; Cyprus Mail; Ekathimerini; Haravgi",National-International,"On 26 January 2023, thousands of workers across all sectors participated in a 3-hour general strike and demonstration in all major cities affecting public transportation and flights, public services, ports, schools and universities, hospitals, media, construction, following failed talks between unions and the labor ministry over the restoration of ATA, the Cost of Living Allowance (CoLA) and the re-introduction of collective labor agreements. The deal granting workers raises to offset inflation was suspended since the financial crisis of 2013. The demonstrators were organized by 14 unions representing 70,000 workers in the public sector and 40,000 workers in the private sector, including SEK and PEO and the unions of teachers, journalists, judges. In Nicosia, demonstrators rallied at the finance ministry and marched to the Labour ministry holding placards and shouting slogans. Union leaders held speeches.",0,"crowd size=thousands",1677016121
CYP1450,"26 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Government of Cyprus (2013-2023); Health Workers (Cyprus); Journalists (Cyprus); Judges (Cyprus); Labor Group (Cyprus); PEO: Pancyprian Federation of Labour; SEK: Cyprus Workers Confederation; Teachers (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,1,"AFP; Cyprus Mail; Ekathimerini; Haravgi",National-International,"On 26 January 2023, thousands of workers across all sectors participated in a 3-hour general strike and demonstration in all major cities affecting public transportation and flights, public services, ports, schools and universities, hospitals, media, construction, following failed talks between unions and the labor ministry over the restoration of ATA, the Cost of Living Allowance (CoLA) and the re-introduction of collective labor agreements. The deal granting workers raises to offset inflation was suspended since the financial crisis of 2013. The demonstrators were organized by 14 unions representing 70,000 workers in the public sector and 40,000 workers in the private sector, including SEK and PEO and the unions of teachers, journalists, judges. In Pafos, demonstrators rallied at the district office, where union officials held speeches.",0,"crowd size=thousands",1677016121
CYP1451,"26 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Government of Cyprus (2013-2023); Health Workers (Cyprus); Journalists (Cyprus); Judges (Cyprus); Labor Group (Cyprus); PEO: Pancyprian Federation of Labour; SEK: Cyprus Workers Confederation; Teachers (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Famagusta,,,Paralimni,35.0391,33.9827,1,"AFP; Cyprus Mail; Ekathimerini; Haravgi",National-International,"On 26 January 2023, thousands of workers across all sectors participated in a 3-hour general strike and demonstration in all major cities affecting public transportation and flights, public services, ports, schools and universities, hospitals, media, construction, following failed talks between unions and the labor ministry over the restoration of ATA, the Cost of Living Allowance (CoLA) and the re-introduction of collective labor agreements. The deal granting workers raises to offset inflation was suspended since the financial crisis of 2013. The demonstrators were organized by 14 unions representing 70,000 workers in the public sector and 40,000 workers in the private sector, including SEK and PEO and the unions of teachers, journalists, judges. In Paralimni, demonstrators rallied at the welfare office, where union officials held speeches.",0,"crowd size=thousands",1677016121
CYP1443,"22 January 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Cyprus)","Police Forces of Cyprus (2013-2023); Police Forces of Cyprus (2013-2023) MMAD",5,"Rioters (Cyprus)",,5,55,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,"Cyprus Mail; Philenews",National,"On 22 January 2023, members of rival soccer teams (although both right-wing and supporting 'enosis' with Greece) APOEL, 200 of which arrived from Nicosia, and APOLLON, clashed with each other over disputes on where they would be placed during the 49th memorial service for EOKA leader Georgios Grivas Digenis in Limassol, and then they attacked police officers at the scene. Six police officers and two members of the public were injured while cars, shop windows, and rubbish bins were damaged. The rioters were armed with stones and firecrackers. There was heavy police presence, including 80 police officers, plus riot police and MMAD, after they had been warned by the EOKA Fighters' Associations about potential unrest, but police was accused of mishandling the fighting. In the following days, police arrested 8 rioters.",0,"crowd size=at least 200",1677016121
CYP1446,"22 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Police Forces of Cyprus (2013-2023)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Cyprus Mail",National,"On 22 January 2023, family and friends of murdered soldier Thanasis Nicolaou, whose death was initially deemed a suicide, held a protest outside the presidential palace in Nicosia, demanding clarification over how events unfolded and the administration of justice. One of the criminal investigators, candidates for the presidency of the republic and party representatives attended the protest.",0,"crowd size=no report",1677016121
CYP1442,"21 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,6,,,0,60,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,SigmaLive,National,"On 21 January 2023, following the anniversary of the arrest of Aleksei Navalny on 17 January 2021, about 200 Russians of Limassol, members of the anti-war movement 'No to war! Cyprus' rallied in solidarity with political prisoners in Russia and to protest against Vladimir Putin and the invasion of Ukraine.",0,"crowd size=about 200",1675191965
CYP1441,"20 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Larnaca,,,Alaminos,34.8068,33.4344,1,Philenews,National,"On 20 January 2023, residents of 4 communities in the district of Larnaca rallied at Alaminos to protest plans to move a poultry farm from Limassol to the area.",0,"crowd size=no report",1674572555
CYP1437,"20 January 2023",2023,1,"Strategic developments","Strategic developments","Change to group/activity","Government of Cyprus (2013-2023)","Police Forces of Cyprus (2013-2023)",1,,,0,10,,196,Europe,Cyprus,Larnaca,,,Athienou,35.0618,33.5404,1,Philenews,National,"Security measures: On 20 January 2023, the Republic of Cyprus begun to erect a barbed wire fence at Athienou with the intention to eventually extend the existing fence along the entirety of the Green Line, among other security measures, to prevent irregular migrants from entering from the north through the buffer zone.",0,,1677016121
CYP1439,"18 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","KTAMS: Cyprus Turkish Civil Servants Trade Union; Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 18 January 2023, members of KTAMS and Kamu-Is rallied in Northern Nicosia over the working conditions at the Motor Vehicles Unit, protesting that the Transport Minister, Erhan Arikli, did not keep his promises.",0,"crowd size=no report",1674572555
CYP1436,"18 January 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Cyprus)","Greek Ethnic Group (Cyprus); Police Forces of Cyprus (2013-2023)",5,"Rioters (Syria)","Refugees/IDPs (Syria)",5,55,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,Philenews,National,"On 18 January 2023, around 80 Greek Cypriots and Syrian asylum seekers clashed with each other following a traffic accident in Limassol involving 4 vehicles, after the people involved in the accident called for support from their friends and relatives. 3 Syrians, including a minor, were arrested for pushing police officers, who arrived at the scene.",0,"crowd size=around 80",1677016121
CYP1435,"17 January 2023",2023,1,"Strategic developments","Strategic developments",Agreement,"Government of Northern Cyprus (2020-)",,1,"Government of Turkey (2016-)",,8,18,,196,Europe,Cyprus,Famagusta,,,Lefkoniko,35.2605,33.7321,1,Detay,National,"On 17 January 2023, the government in Northern Cyprus published in the official gazette a decision, that would be followed by signing a protocol with the Turkish government, to grant the right of usage of the Gecitkale (Lefkoniko) airport to the Turkish military forces in Northern Cyprus.",0,,1674572555
CYP1438,"17 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Health Workers (Cyprus); Labor Group (Cyprus); SEK: Cyprus Workers Confederation; PEO: Pancyprian Federation of Labour; PASYNO: Pancyprian Nurses Union Federation",6,,,0,60,,196,Europe,Cyprus,Larnaca,,,Larnaca,34.9229,33.6233,1,"Cyprus Mail; Philenews",National,"On 17 January 2023, during a strike in all state hospitals, health workers and clerical staff rallied outside Larnaca hospital carrying placards and shouting slogans demanding the state health services organization (Okypy) renew their collective agreements. Members of labor organizations, including SEK, PEO, PASYNO, participated in the protest.",0,"crowd size=no report",1674572555
CYP1440,"16 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Women (Cyprus); KTAMS: Cyprus Turkish Civil Servants Trade Union; Labor Group (Cyprus); KTOEOS: Cyprus Turkish Secondary School Teachers Union; Teachers (Cyprus); Independence Road; Lawyers (Cyprus); Journalists (Cyprus); Health Workers (Cyprus); LGBTQ+ (Cyprus); Refugees/IDPs (Cyprus); CTP: Republican Turkish Party; TDP: Communal Democracy Party; YKP: New Cyprus Party; Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"AP; Cyprus Mail; Detay",National-International,"On 16 January 2023, several hundred Turkish Cypriot protesters from 46 trade unions, opposition parties and NGOs, including women's' associations, KTAMS, KTOEOS, Independence Road, Cyprus Turkish Bar Association, Cyprus Turkish Journalists Union, Cyprus Turkish Medical Association, Queer Cyprus Association, Refugee Rights Association, TDP, CTP, YKP, pensioners, rallied in Northern Nicosia carrying banners to protest the Islamification of the north after the Head of Religious Affairs, Ahmet Unsal, appointed by Turkey, preached anti-feminist rhetoric at a mosque in Famagusta; this followed courses teaching Islamic values to children.",0,"crowd size=several hundreds",1674572555
CYP1434,"14 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","APC: Animal Party Cyprus",6,,,0,60,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,"Cyprus Mail; SigmaLive",National,"On 14 January 2023, members of the Animal Party rallied outside Limassol Zoo demanding its closure, following a series of scandals related to animal deaths at the facility.",0,"crowd size=no report",1674572555
CYP1431,"13 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","KTAMS: Cyprus Turkish Civil Servants Trade Union; KTOEOS: Cyprus Turkish Secondary School Teachers Union; Labor Group (Cyprus); Teachers (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 13 January 2023, Turkish Cypriot public sector unions rallied outside the Prime Minister's office in Northern Nicosia, where they made a joint statement calling on the government to uphold the agreements signed with the unions regarding the tax base and salaries of civil servants. The leaders of KTAMS and KTOEOS held speeches.",0,"crowd size=no report",1673986321
CYP1432,"12 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","KTAMS: Cyprus Turkish Civil Servants Trade Union; Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 12 January 2023, members of KTAMS rallied outside the Prime Minister's office in Northern Nicosia, where they unfurled a banner and made a statement to the media to protest against the government over the partisan recruitment of people in the public sector, leaving vacant essential positions, such as for bookkeeping, and bypassing hundreds of people, who were successful in the relevant exams.",0,"crowd size=no report",1673986321
CYP1430,"11 January 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Cyprus)",,3,"Civilians (Cyprus)",,7,37,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,Philenews,National,"Property destruction: On 11 January 2023, unidentified assailants, likely far-left, smashed the glass front of the ultranationalist Grivas Digenis association in Limassol and caused additional damage to the entrance. They also sprayed slogans calling them 'fascists' and threatening to burn the association down.",0,,1673986321
CYP1433,"08 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Kurdish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Philenews,National,"On 8 January 2023, members of the Kurdish Cypriot Cultural Centre 'Theofilos Georgiadis' marched in Nicosia, following the killing of 3 Kurds in Paris on 23 December 2022, blaming the French government for not protecting Kurds, so that French-Turkish relations would not be disturbed. The demonstrators also blamed NATO and the European Union for their politics of appeasement regarding Turkey and protested that Turkey had been bombing Kurdish targets even before Russia's invasion of Ukraine.",0,"crowd size=no report",1673986321
CYP1428,"04 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","SEVKAD; Muslim Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Famagusta,,,Famagusta,35.1205,33.9389,1,"Cyprus Mail; Detay",National,"On 4 January 2023, members of the Association of Love and Brotherhood (Sevkad) rallied outside mosques in Famagusta holding banners reading 'Life, Faith, Jihad' and called for Sharia.",0,"crowd size=no report",1673986321
CYP1429,"04 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","SEVKAD; Muslim Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Cyprus Mail; Detay",National,"On 4 January 2023, members of the Association of Love and Brotherhood (Sevkad) rallied outside mosques in Nicosia holding banners reading 'Life, Faith, Jihad' and called for Sharia.",0,"crowd size=no report",1673986321
CYP1426,"02 January 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Greece)",,3,"Civilians (Cyprus)",,7,37,,196,Europe,Cyprus,Nicosia,,,Geri,35.1068,33.4204,1,"Cyprus Mail",National,"Property destruction: On 2 January 2023, unidentified perpetrators, likely far-right, uprooted from its location and destroyed the new street name sign bearing the name of Dimitris Christofias (a late President of Cyprus and General Secretary of AKEL, who was supporting talks with the Turkish Cypriots and the reunification of the island). The street had just been renamed from Geri Avenue to Dimitris Christofias Avenue. This was a replacement to a previous sign that had been defaced 24hrs after the renaming ceremony.",0,,1673376401
CYP1427,"01 January 2023",2023,1,"Strategic developments","Strategic developments",Other,"Government of Northern Cyprus (2020-)",,1,,,0,10,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,3,Philenews,National,"Other: On 1 January 2023, following a decision by the Council of Ministers in Northern Cyprus (coded to Nicosia) the Turkish satellite Turksat stopped broadcasting the channel of the opposition SIM. Turkish Cypriot media reported this as an act of censorship.",0,,1673376401
CYP1425,"27 December 2022",2022,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Cyprus)","Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",3,"Civilians (Cyprus)","Government of Northern Cyprus (2020-)",7,37,"Civilian targeting",196,Europe,Cyprus,Kyrenia,,,"Kato Dikomo",35.2677,33.3256,1,"Cyprus Mail; Detay",National,"On 27 December 2022, a municipality employee in Kato Dikomo / Dikmen fired shots against the mayor after the latter gave a warning to employees, telling them they should follow the rules, which he had accused them of going against. The mayor was taken to hospital for an injury to his ankle and other employees intervened to put a stop to the fight, leading to another employee getting injured. The attacker was arrested.",0,,1673376401
CYP1423,"25 December 2022",2022,1,"Strategic developments","Strategic developments",Other,"Government of Northern Cyprus (2020-)",,1,,,0,10,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,3,"Detay; Philenews",National,"Elections/referendum: On 25 December 2022, Turkish Cypriots voted in local government elections in Northern Cyprus (coded to Nicosia) for the first time after reforms, that had sparked protests, reduced the number of municipalities from 28 to 18. Participation in the elections increased from 64,1% to 68,85% with a win for the opposition parties. CTP was the party with the most elected mayors. A woman was also elected mayor for the first time. The application for the mukhtar/mayor candidacy of another woman, a Greek Cypriot Maronite, was not approved on security grounds. The Foreign Affairs ministry in Northern Cyprus denied that she was rejected because she is a Maronite. On 28 December, new mayors received their mandate without incident.",0,,1673376401
CYP1418,"24 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Students (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,1,"Cyprus Mail",National,"On 24 December 2022, students and about 70 parents rallied outside the office of the Education Ministry in Pafos to protest against the twice-yearly exams.",0,"crowd size=at least 70",1673376401
CYP1422,"22 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,1,Philenews,National,"On 22 December 2022, members of the Pafos Sailing Club rallied at the municipal swimming pool of Pafos to protest that they were not allowed access to the pool.",0,"crowd size=no report",1673376401
